RX Date/Time,A0(field 1),A1(field 2),A2(field 3),A3(field 4)
2023/07/10/ 11:24:20::760,35147,86,0.30,0.29,0.31,0.36,1.07,1.25
2023/07/10/ 11:24:21::173,35558,87,0.30,0.29,0.31,0.36,0.90,1.82
2023/07/10/ 11:24:21::583,35968,88,0.30,0.29,0.31,0.35,1.02,1.24
2023/07/10/ 11:24:21::999,36377,89,0.30,0.29,0.31,0.35,1.06,1.47
2023/07/10/ 11:24:22::411,36788,90,0.30,0.29,0.31,0.35,0.87,1.65
2023/07/10/ 11:24:22::822,37197,91,0.30,0.29,0.31,0.35,1.09,1.21
2023/07/10/ 11:24:23::237,37607,92,0.30,0.29,0.31,0.35,0.98,1.75
2023/07/10/ 11:24:23::650,38018,93,0.30,0.29,0.31,0.35,0.94,1.43
2023/07/10/ 11:24:24::064,38427,94,0.30,0.29,0.31,0.35,1.08,1.22
2023/07/10/ 11:24:24::477,38837,95,0.30,0.29,0.31,0.36,0.93,1.82
2023/07/10/ 11:24:24::892,39247,96,0.30,0.29,0.31,0.35,0.98,1.32
2023/07/10/ 11:24:25::299,39657,97,0.30,0.29,0.31,0.35,1.07,1.29
2023/07/10/ 11:24:25::715,40067,98,0.30,0.29,0.31,0.35,0.88,1.79
2023/07/10/ 11:24:26::111,40476,99,0.30,0.29,0.31,0.35,1.03,1.22
2023/07/10/ 11:24:26::513,40887,100,0.30,0.29,0.31,0.35,1.04,1.53
2023/07/10/ 11:24:26::950,41296,101,0.30,0.29,0.31,0.36,0.89,1.60
2023/07/10/ 11:24:27::368,41706,102,0.30,0.29,0.31,0.35,1.10,1.22
2023/07/10/ 11:24:27::751,42117,103,0.30,0.29,0.31,0.36,0.96,1.77
2023/07/10/ 11:24:28::164,42526,104,0.30,0.29,0.31,0.35,0.95,1.40
2023/07/10/ 11:24:28::576,42936,105,0.30,0.29,0.31,0.35,1.08,1.23
2023/07/10/ 11:24:28::990,43346,106,0.30,0.29,0.31,0.36,0.93,1.84
2023/07/10/ 11:24:29::403,43756,107,0.31,0.29,0.31,0.35,0.99,1.32
2023/07/10/ 11:24:29::816,44166,108,0.30,0.29,0.31,0.35,1.07,1.30
2023/07/10/ 11:24:30::229,44576,109,0.30,0.29,0.31,0.36,0.88,1.79
2023/07/10/ 11:24:30::643,44986,110,0.30,0.29,0.31,0.35,1.04,1.23
2023/07/10/ 11:24:31::055,45395,111,0.30,0.29,0.31,0.36,1.05,1.51
2023/07/10/ 11:24:31::468,45806,112,0.30,0.29,0.31,0.36,0.88,1.63
2023/07/10/ 11:24:31::881,46216,113,0.30,0.29,0.31,0.35,1.09,1.21
2023/07/10/ 11:24:32::295,46625,114,0.30,0.29,0.31,0.36,0.98,1.75
2023/07/10/ 11:24:32::733,47036,115,0.30,0.29,0.31,0.36,0.93,1.45
2023/07/10/ 11:24:33::142,47446,116,0.30,0.29,0.31,0.35,1.09,1.22
