RX Date/Time,Voltage(field 1)
2023/07/18/ 10:23:34::744,47387,2.53
2023/07/18/ 10:23:34::768,47413,2.43
2023/07/18/ 10:23:34::794,47439,2.75
2023/07/18/ 10:23:34::824,47465,2.60
2023/07/18/ 10:23:34::855,47491,2.76
2023/07/18/ 10:23:34::872,47516,2.45
2023/07/18/ 10:23:34::895,47542,2.34
2023/07/18/ 10:23:34::933,47567,2.66
2023/07/18/ 10:23:34::947,47593,2.79
2023/07/18/ 10:23:34::976,47619,2.61
2023/07/18/ 10:23:34::998,47644,2.59
2023/07/18/ 10:23:35::035,47670,2.62
2023/07/18/ 10:23:35::056,47695,2.47
2023/07/18/ 10:23:35::074,47721,2.27
2023/07/18/ 10:23:35::104,47748,2.60
2023/07/18/ 10:23:35::143,47773,2.97
2023/07/18/ 10:23:35::153,47799,2.73
2023/07/18/ 10:23:35::177,47824,2.76
2023/07/18/ 10:23:35::208,47850,2.51
2023/07/18/ 10:23:35::232,47876,2.77
2023/07/18/ 10:23:35::257,47901,2.68
2023/07/18/ 10:23:35::282,47927,2.47
2023/07/18/ 10:23:35::309,47952,2.64
2023/07/18/ 10:23:35::332,47978,2.88
2023/07/18/ 10:23:35::370,48004,2.61
2023/07/18/ 10:23:35::383,48029,2.29
2023/07/18/ 10:23:35::412,48056,2.74
2023/07/18/ 10:23:35::434,48081,2.83
2023/07/18/ 10:23:35::474,48107,2.62
2023/07/18/ 10:23:35::486,48133,2.29
2023/07/18/ 10:23:35::513,48158,2.64
2023/07/18/ 10:23:35::539,48184,2.56
2023/07/18/ 10:23:35::583,48209,2.53
2023/07/18/ 10:23:35::592,48235,2.96
2023/07/18/ 10:23:35::614,48261,2.60
2023/07/18/ 10:23:35::642,48286,2.31
2023/07/18/ 10:23:35::666,48312,2.47
2023/07/18/ 10:23:35::700,48337,2.50
2023/07/18/ 10:23:35::720,48363,2.44
2023/07/18/ 10:23:35::742,48390,2.77
2023/07/18/ 10:23:35::769,48415,2.77
2023/07/18/ 10:23:35::803,48441,2.63
2023/07/18/ 10:23:35::822,48466,2.75
2023/07/18/ 10:23:35::847,48492,2.67
2023/07/18/ 10:23:35::871,48518,2.14
2023/07/18/ 10:23:35::909,48543,2.65
2023/07/18/ 10:23:35::921,48569,2.57
2023/07/18/ 10:23:35::948,48594,2.69
2023/07/18/ 10:23:35::977,48620,2.62
2023/07/18/ 10:23:36::022,48646,2.67
2023/07/18/ 10:23:36::030,48671,2.68
2023/07/18/ 10:23:36::050,48698,2.49
2023/07/18/ 10:23:36::080,48723,2.52
2023/07/18/ 10:23:36::104,48749,2.89
2023/07/18/ 10:23:36::129,48775,2.53
2023/07/18/ 10:23:36::152,48800,2.52
2023/07/18/ 10:23:36::183,48826,2.65
2023/07/18/ 10:23:36::207,48851,2.53
2023/07/18/ 10:23:36::245,48877,2.97
2023/07/18/ 10:23:36::253,48903,2.62
2023/07/18/ 10:23:36::287,48928,2.26
2023/07/18/ 10:23:36::307,48954,2.37
2023/07/18/ 10:23:36::351,48979,2.64
2023/07/18/ 10:23:36::360,49005,2.69
2023/07/18/ 10:23:36::387,49032,2.78
2023/07/18/ 10:23:36::415,49057,2.46
2023/07/18/ 10:23:36::435,49083,2.47
2023/07/18/ 10:23:36::461,49108,2.56
2023/07/18/ 10:23:36::489,49134,2.25
2023/07/18/ 10:23:36::511,49160,2.71
2023/07/18/ 10:23:36::539,49185,2.39
2023/07/18/ 10:23:36::568,49211,2.63
2023/07/18/ 10:23:36::591,49236,2.68
2023/07/18/ 10:23:36::615,49262,2.79
2023/07/18/ 10:23:36::639,49288,2.65
2023/07/18/ 10:23:36::684,49313,2.65
2023/07/18/ 10:23:36::693,49339,3.11
2023/07/18/ 10:23:36::716,49366,2.65
2023/07/18/ 10:23:36::741,49391,2.97
2023/07/18/ 10:23:36::771,49417,2.71
2023/07/18/ 10:23:36::797,49442,2.63
2023/07/18/ 10:23:36::820,49468,2.78
2023/07/18/ 10:23:36::846,49494,2.48
2023/07/18/ 10:23:36::873,49519,2.71
2023/07/18/ 10:23:36::897,49545,2.47
2023/07/18/ 10:23:36::920,49570,2.28
2023/07/18/ 10:23:36::952,49596,2.36
2023/07/18/ 10:23:36::977,49622,2.71
2023/07/18/ 10:23:37::002,49647,2.56
2023/07/18/ 10:23:37::023,49674,2.82
